Chương trình, mức giảm, mã giảm, số lần, giá nhỏ nhất, giảm tối đa, bắt đầu, kết thúc
5,5,5icZmL87JiNzxZBnO,1,5,5,5,5,
5,5,5WPTcuRgYzBpOv0pm,1,5,5,5,5,
5,5,5x6fRsLRTryWPLWH5,1,5,5,5,5,
5,5,5LVIEQly1RKUCrGMv,1,5,5,5,5,
5,5,5GFrvNT7FuOf0vxC4,1,5,5,5,5,
kien,15,15ThmRhIkFpAtP43p,1,15,20,2024-01-01 00:00:00,2024-10-25 00:00:00,
kien,15,15utP616gfSK0fCAJ,1,15,20,2024-01-01 00:00:00,2024-10-25 00:00:00,
kien,15,15mjyKgrvFrd4Npi0,1,15,20,2024-01-01 00:00:00,2024-10-25 00:00:00,
kien,15,15SXutigIFlAVEU6w,1,15,20,2024-01-01 00:00:00,2024-10-25 00:00:00,
kien,15,15bpnwR1ftw5ayiI7,1,15,20,2024-01-01 00:00:00,2024-10-25 00:00:00,
kien,15,15t0pstjOUSxEkKVT,1,15,20,2024-01-01 00:00:00,2024-10-25 00:00:00,
kien,15,1586xa9LhL1iEw8DV,1,15,20,2024-01-01 00:00:00,2024-10-25 00:00:00,
kien,15,156Mqqwf5GnzHPeue,1,15,20,2024-01-01 00:00:00,2024-10-25 00:00:00,
kien,15,15Ifkzw2edDXpGDFF,1,15,20,2024-01-01 00:00:00,2024-10-25 00:00:00,
kien,15,15CwbqkhOhDXuOnBP,1,15,20,2024-01-01 00:00:00,2024-10-25 00:00:00,
klein,15,15dehDyDzLACn9a4F,1,55,555,444,555,
klein,15,15JTxjMZAHYCrV2fI,1,55,555,444,555,
klein,15,15SjBT3oUuli693OJ,1,55,555,444,555,
klein,15,15Y0USb7xLsBWreJH,1,55,555,444,555,
klein,15,15KiKjXIMCNkzZslK,1,55,555,444,555,
klein,15,15eZhj1R50ze1grjF,1,55,555,444,555,
klein,15,15efcTiJo4ypWd5ub,1,55,555,444,555,
klein,15,15G6VDjkfj3bumt9E,1,55,555,444,555,
klein,15,15xO67xt6946T76BI,1,55,555,444,555,
klein,15,152xn1elAC2DaliGQ,1,55,555,444,555,
klein,15,15kdDht606rFvk2B3,1,55,555,444,555,
klein,15,15imdczrM1BB2CF2W,1,55,555,444,555,
klein,15,15RpasAkNiEOGQUjV,1,55,555,444,555,
klein,15,1594lb8Fs4zahdubz,1,55,555,444,555,
klein,15,1511svCa05X3oDxsv,1,55,555,444,555,
klein,15,15KKic3fs51hxIlum,1,55,555,444,555,
klein,15,15omYTwLvlSkWNFny,1,55,555,444,555,
klein,15,15ZLe7iQ0qWorRlkB,1,55,555,444,555,
klein,15,15kUE01CjqYgkb6wm,1,55,555,444,555,
klein,15,152mLRL8Vzno0Aqg1,1,55,555,444,555,
klein,15,15oxnnl2W7cwlz58C,1,55,555,444,555,
klein,15,15dQ0eJOVl24DjbuK,1,55,555,444,555,
klein,15,15NrgIYHsBGEGnb8G,1,55,555,444,555,
klein,15,158stR1Myt9WLio4w,1,55,555,444,555,
klein,15,15oAAWh5RnXgZ7YJz,1,55,555,444,555,
klein,15,15u2yKGs6T8AGcYCr,1,55,555,444,555,
klein,15,15DVddpqaSFbBjSQD,1,55,555,444,555,
klein,15,15ZJPCqsq2wVvunJK,1,55,555,444,555,
klein,15,15ZGT2fykhlEhDpW4,1,55,555,444,555,
klein,15,15q8Om5YXWKyyqJt6,1,55,555,444,555,
klein,15,15aShiVeGszausLWw,1,55,555,444,555,
klein,15,15BdiYHUDvePS3mm3,1,55,555,444,555,
klein,15,15t3YG7YNHBTlXW8B,1,55,555,444,555,
klein,15,15iZFcQQQTM7rj6Mg,1,55,555,444,555,
klein,15,15RIdytCEo3BLNMBL,1,55,555,444,555,
klein,15,15R3oGFYQVD7VVhR9,1,55,555,444,555,
klein,15,15mFRyy33kdHMRYdH,1,55,555,444,555,
klein,15,15kqOjEWCcknJFLTi,1,55,555,444,555,
klein,15,15aduegrA2zUDQ1yg,1,55,555,444,555,
klein,15,15G9UopsaSTf13zzz,1,55,555,444,555,
klein,15,15MtoaBq2334MZeNi,1,55,555,444,555,
klein,15,153eggImHTR70BwKo,1,55,555,444,555,
klein,15,15SMbfShlRkUUG0EJ,1,55,555,444,555,
klein,15,15WuEMqo6XT07bbHH,1,55,555,444,555,
klein,15,15PQb9ZO1f3nOvmBK,1,55,555,444,555,
klein,15,15JQS3thb1w8LGmYY,1,55,555,444,555,
klein,15,15ButJkTjx4qmS2vN,1,55,555,444,555,
klein,15,15pugQwPI8F3tQ1xR,1,55,555,444,555,
klein,15,1547pjZbgCX7qaN62,1,55,555,444,555,
klein,15,15Q4ByJXRAz65B9Vs,1,55,555,444,555,
klein,15,15hwHxFmYaW2O8ltb,1,55,555,444,555,
klein,15,15FiAp9MjieQMaorw,1,55,555,444,555,
klein,15,15iRSPOHb6EKJ5pDq,1,55,555,444,555,
klein,15,15Fv1kC2e6bkx973c,1,55,555,444,555,
klein,15,15Cdgx9L3bjOCZueJ,1,55,555,444,555,
klein,15,15Ujp6EEwfTKb6QDm,1,55,555,444,555,
klein,15,150bQboNU2R35uMhB,1,55,555,444,555,
klein,15,15ULaGIgyb66OoXbs,1,55,555,444,555,
klein,15,15LHTOwsFrg9Hdlwu,1,55,555,444,555,
klein,15,15QJdw2ryQUjlMgzl,1,55,555,444,555,
klein,15,15lIhlx0kUuFleIG2,1,55,555,444,555,
klein,15,15PD3sRfO8BvFMHtz,1,55,555,444,555,
klein,15,15tgtMIl1Q070cCph,1,55,555,444,555,
klein,15,15OEn29qa35nMSO8L,1,55,555,444,555,
klein,15,15iyjs3VZeEbXTTjn,1,55,555,444,555,
klein,15,15nlLuclxbcBXEX8J,1,55,555,444,555,
klein,15,1553oEONcKq69PFK2,1,55,555,444,555,
klein,15,152IWF0F3eRPqddxI,1,55,555,444,555,
klein,15,15m27jDnIsgbJdrij,1,55,555,444,555,
klein,15,156fkIHw6VICjOx0C,1,55,555,444,555,
klein,15,157mZOY4VCd8crZ4V,1,55,555,444,555,
klein,15,15JDjeCoCdrA8fEcT,1,55,555,444,555,
klein,15,15vVUnKoacgMcz3p5,1,55,555,444,555,
klein,15,15ahx4HyykfAUnxWT,1,55,555,444,555,
klein,15,15VizG27EzJhqBALP,1,55,555,444,555,
klein,15,15tlgYMmKQMNVq57f,1,55,555,444,555,
klein,15,15bEOptBn9hoE0a4L,1,55,555,444,555,
klein,15,159LCsfEBV5XpNG2H,1,55,555,444,555,
klein,15,15WpS0TKGO1OuLB2W,1,55,555,444,555,
klein,15,15mo1l3YCQ1WneaKO,1,55,555,444,555,
klein,15,15Z3VXNQMVnT2QIsx,1,55,555,444,555,
klein,15,15AF7vZuUrmoSGML0,1,55,555,444,555,
klein,15,15A7qxCxSOX1gUMp4,1,55,555,444,555,
klein,15,15Qh0tH8XEjDg51HA,1,55,555,444,555,
klein,15,15QgH2luvM2zOK8Q6,1,55,555,444,555,
klein,15,15tjewY8R3gSDU3yf,1,55,555,444,555,
klein,15,15oE3ur2jJ4ak0hjM,1,55,555,444,555,
klein,15,15E4qUS7e7kQP5ZMN,1,55,555,444,555,
klein,15,15Dof83A4r8VjXxte,1,55,555,444,555,
klein,15,15s7JA5swaQ3l9hOe,1,55,555,444,555,
klein,15,15xQXMpY7hQZxIcip,1,55,555,444,555,
klein,15,15NGhAVR3fR2Nc0k1,1,55,555,444,555,
klein,15,15syoKC8yh6spXeSa,1,55,555,444,555,
klein,15,15hjpUzG9bIOR4n0U,1,55,555,444,555,
klein,15,15uWNnF01PMPjKcXA,1,55,555,444,555,
klein,15,15Cb7OLCsCx0uM8io,1,55,555,444,555,
klein,15,15ycvPOZbIGwr4uLv,1,55,555,444,555,
klein,15,15X0fKhDk5lHh6a8w,1,55,555,444,555,
klein,15,15pOmoGtoQXEkQY9p,1,55,555,444,555,
klein,15,15RsyAzWIv0nyKXW4,1,55,555,444,555,
klein,15,15ZUho9t0rAkbnITb,1,55,555,444,555,
klein,15,15EzMvWfl5k0MoXh4,1,55,555,444,555,
klein,15,15WEE50isftFKZHiF,1,55,555,444,555,
klein,15,15hsOcUyhXS70BhYR,1,55,555,444,555,
klein,15,15hsWR2FJ0ktJ1y9O,1,55,555,444,555,
klein,15,157UBqPDxEOpakdw7,1,55,555,444,555,
klein,15,15oODT3laC2zakFGQ,1,55,555,444,555,
klein,15,15y9srs5VXcMG7asl,1,55,555,444,555,
klein,15,154xGW8MniHuYEBQs,1,55,555,444,555,
klein,15,15eqCkGHmtZdyuryJ,1,55,555,444,555,
klein,15,15w47jxBryaTJSZDu,1,55,555,444,555,
klein,15,15zUPffer7Ic3mGnz,1,55,555,444,555,
klein,15,15zb4pMeO8lBslZCk,1,55,555,444,555,
klein,15,158bY2q5zn3olKTXQ,1,55,555,444,555,
klein,15,15LqnG0OO9tSpqHum,1,55,555,444,555,
klein,15,15A38d64MXPR4I1Bu,1,55,555,444,555,
klein,15,15l7kQz19hXqEXTE2,1,55,555,444,555,
klein,15,15mtbQ5scKvDwKT3p,1,55,555,444,555,
klein,15,1514Y7c2EbZFs4V5e,1,55,555,444,555,
klein,15,15bWNdwdFGVAa9iU9,1,55,555,444,555,
klein,15,15VPHfj2RrhdwdHsm,1,55,555,444,555,
klein,15,15AKfHhzLOCg9ay2g,1,55,555,444,555,
klein,15,15voeSZaRc5r2C22t,1,55,555,444,555,
klein,15,15SvdX3Utkekn5siG,1,55,555,444,555,
klein,15,15Rrz0zZbgZIMMSsM,1,55,555,444,555,
klein,15,15A6JIDEOv8uQAJPT,1,55,555,444,555,
klein,15,15qmabRb2MHVICt0e,1,55,555,444,555,
klein,15,15f0r3W4SUFYkkv2m,1,55,555,444,555,
klein,15,156BOL3rtmKq7ZVik,1,55,555,444,555,
klein,15,15Ep2C1hTpCJ5TXr5,1,55,555,444,555,
klein,15,155aBBRRdLO5tWl4v,1,55,555,444,555,
klein,15,15vNrkuLcDC3djQuy,1,55,555,444,555,
klein,15,152aRRc59YuytspoX,1,55,555,444,555,
klein,15,15gUY41e7RD4S6mN8,1,55,555,444,555,
klein,15,15EZsneMu1uljpAK9,1,55,555,444,555,
klein,15,159rDPZ7AKWgSxCkV,1,55,555,444,555,
klein,15,15ncvOiH8kc3AmBiR,1,55,555,444,555,
klein,15,15QWqJ5Af442MqXtb,1,55,555,444,555,
klein,15,159wahg8hIBlF75L9,1,55,555,444,555,
klein,15,15Ap40Dei2Dzo5Ntk,1,55,555,444,555,
klein,15,15eUp8NemXAr2xsjN,1,55,555,444,555,
klein,15,15lGsFMD1Cg1lFNlG,1,55,555,444,555,
klein,15,15uShxiOHBdPK5jg4,1,55,555,444,555,
klein,15,15lUUvG9LKwz3v8bW,1,55,555,444,555,
klein,15,15ye6dNG9OT0Kf3uH,1,55,555,444,555,
klein,15,155Q5xSJwGJTf92Ek,1,55,555,444,555,
klein,15,15HmT5LlBsKaal6m2,1,55,555,444,555,
klein,15,15NZi21yksFGwLJSu,1,55,555,444,555,
klein,15,15psoAhAAzUyNpp0I,1,55,555,444,555,
klein,15,15qiIJrXoLWlgBgbu,1,55,555,444,555,
klein,15,15r1GpgrxqhwpQGFO,1,55,555,444,555,
klein,15,15JNRoAjDYh4TzWTM,1,55,555,444,555,
klein,15,15SVPnrjjSi3EwZJN,1,55,555,444,555,
klein,15,15KSfXrJAJGELjvle,1,55,555,444,555,
klein,15,15S7d4ojmthsqjBlq,1,55,555,444,555,
klein,15,15wUMF1VKQCXJEMai,1,55,555,444,555,
klein,15,15aiMPL2vvKHCpFD8,1,55,555,444,555,
klein,15,15sVlnw2mDFgrBYlq,1,55,555,444,555,
klein,15,15XLD4HWrki1hcnPP,1,55,555,444,555,
klein,15,15onFDzpaZmj3NvVP,1,55,555,444,555,
klein,15,150K6ohFkaxapGnnq,1,55,555,444,555,
klein,15,15yFGWwN0W28LjIWx,1,55,555,444,555,
klein,15,156heHxlny72sJ20m,1,55,555,444,555,
klein,15,15RgFGIKdAvjuxk54,1,55,555,444,555,
klein,15,15Qcy4y9vpaDCfRAF,1,55,555,444,555,
klein,15,1555KWnvZH11Vgevg,1,55,555,444,555,
klein,15,15FYeMzxipQpud9ax,1,55,555,444,555,
klein,15,15JU0Q0OyFEDv9mU3,1,55,555,444,555,
klein,15,15IqLW3GRC5A6ZK3Y,1,55,555,444,555,
klein,15,15gjwzpkhoUEH0jXx,1,55,555,444,555,
klein,15,15BAvp9oifULuwd1D,1,55,555,444,555,
klein,15,153pm8939pH6NQIkt,1,55,555,444,555,
klein,15,15uxeSfD4pW3itSuR,1,55,555,444,555,
